row,column,block,sub,warmtrt,comptrt,per_s,per_na,per_p,per_a,count_s,count_na,count_p,count_dam_p,count_a,til_na,til_p,til_a,gopher_spring,moisture_spring,count_s_fall,fall_s_g,count_na_fall,fall_na_g,count_p_fall,fall_p_g,gopher_fall,notes
1,1,1,A,amb,n,1,0,30,3,1,0,2,0,3,0,485,19,0.6,18.7,0,,0,,2,,,
1,1,1,B,amb,a,1,2,25,20,1,1,1,1,34,4,171,151,0.6,20,1,,1,,2,,,
1,2,1,A,amb,p,2,1,30,1,1,1,2,3,1,0,57,12,0.3,26.7,1,,1,,5,,,
1,2,1,B,amb,s,3,3,10,1,14,3,1,0,3,85,90,3,0.4,29.6,11,,3,,1,,,
1,3,2,A,amb,a_s,2,1,0,8,5,1,0,0,5,1,0,36,0.85,22.1,3,,1,,0,,1,
1,3,2,B,amb,a_p,0,0,25,20,0,0,1,3,9,0,102,59,0.3,23.1,0,,0,,4,,,
1,3,2,C,amb,s_p,2,5,10,3,7,5,1,0,2,9,27,17,0.65,25.6,5,1,4,,1,,0.4,
1,4,2,A,amb,a,0,0,3,40,0,0,1,0,39,0,42,175,0.85,14.5,0,,0,,0,1,,
1,4,2,B,amb,p,1,0,15,2,2,1,1,4,2,0,119,19,0.6,24.8,1,,0,1,2,3,,
1,5,3,A,amb,p,0,0,55,5,0,0,1,7,3,0,157,29,0.25,27.2,0,,0,,8,,,
1,5,3,B,amb,n,1,1,15,2,1,1,0,2,2,0,182,27,0.9,25.8,0,,1,,2,,,
1,6,3,A,amb,a,0,0,3,20,0,0,0,1,29,0,5,113,0.9,19.1,0,,0,,1,,,
1,6,3,B,amb,s,5,5,3,10,48,3,0,1,7,16,2,48,0.3,17.2,32,,3,,1,,,
1,7,4,A,amb,n,1,2,3,10,2,2,0,1,13,0,7,68,0.4,22.3,2,,2,,1,,,
1,7,4,B,amb,a,1,1,10,10,1,1,1,1,45,0,125,103,0.75,18.2,2,,1,,1,,0.25,
1,8,4,A,amb,s_p,2,5,0,0,7,4,0,0,0,22,0,0,0.7,23.8,6,,3,1,0,,,
1,8,4,B,amb,a_p,0,0,0,5,0,0,0,0,5,0,0,18,0.95,24.1,0,,0,,0,,,
