year_data,year_planted,row,column,sub,type,id,veg_height,rep_height,height,circumference,diameter,area,tillers,2020_fall,2020_winter,2021_spring,2021_fall,,,,distance
2020,2019,1,1,A,adult,p1,11,37,11,18,,,40,alive,alive,alive,,,,,
2020,2019,1,1,A,adult,p2,12,27,12,13.5,,,4,alive,alive,alive,,,,,
2020,2019,1,1,A,annual,a1,,8,8,,2.5,,1,annual,,,,,,,2_s
2020,2019,1,1,A,annual,a2,,19,19,,3,,4,annual,,,,,,,11_s
2020,2019,1,1,A,annual,a3,,20,20,,5,,14,annual,,,,,,,6_p
2020,2019,1,1,A,annual,a4,,14,14,,5,,11,annual,,,,,,,8_p
2020,2019,1,1,A,seedling,s1,1.5,,1.5,,1.5,,,dead,,,,,,,2_a
2021,2019,1,1,A,adult,p1,10,40,10,,5,,358,,,alive,,,,,
2021,2019,1,1,A,adult,p2,8,31,8,,4,,123,,,alive,,,,,
2021,2020,1,1,A,seedling,s2,1,,1,,1,,,,,alive,,,,,
2021,2020,1,1,A,annual,a5,,37,37,,2,,8,,,annual,,,,,
2021,2020,1,1,A,annual,a6,,30,30,,1,,3,,,annual,,,,,
2021,2020,1,1,A,annual,a7,,26,26,,2,,8,,,annual,,,,,
2020,2019,1,1,B,adult,p1,9,,9,13,,,0,alive,alive,partial,,,,,
2020,2019,1,1,B,adult,p2,9,27,9,14,,,10,alive,alive,alive,,,,,
2020,2019,1,1,B,annual,a1,,20,20,,5,,11,annual,,,,,,,0_a
2020,2019,1,1,B,annual,a2,,7,7,,1.5,,6,annual,,,,,,,1_a
2020,2019,1,1,B,annual,a3,,19,19,,2,,6,annual,,,,,,,0_a
2020,2019,1,1,B,annual,a4,,9,9,,1,,3,annual,,,,,,,1.5_p
2020,2019,1,1,B,seedling,s1,3,,3,,2,,,alive,alive,newadult,,,,,4_a
2021,2019,1,1,B,newadult,s1,4,10,4,,3,,4,,,newadult,,,,,
2021,2019,1,1,B,adult,p1,5,41,5,,,54,127,,,partial,,,,,
2021,2019,1,1,B,adult,p2,5,37,5,,6,,144,,,alive,,,,,
2021,2020,1,1,B,seedling,s2,1.5,,1.5,,1,,,,,alive,,,,,
2021,2020,1,1,B,annual,a5,,41,41,,3,,13,,,annual,,,,,
2021,2020,1,1,B,annual,a6,,25,25,,1,,8,,,annual,,,,,
2021,2020,1,1,B,annual,a7,,27,27,,2,,4,,,annual,,,,,
2021,2020,1,1,B,annual,a8,,27,27,,1,,3,,,annual,,,,,
2020,2019,1,2,A,adult,p1,13,40,13,14,,,107,alive,gopher,,,,,,
2020,2019,1,2,A,adult,p2,10,35,10,10,,,42,alive,partial,partial,,,,,
2020,2019,1,2,A,adult,p3,13,43,13,12,,,38,alive,alive,alive,,,,,
2020,2019,1,2,A,adult,p4,13,43,13,12.5,,,26,alive,alive,alive,,,,,
2020,2019,1,2,A,adult,p5,15,42,15,12,,,93,alive,alive,partial,,,,,
2020,2019,1,2,A,adult,p6,12,34,12,10,,,33,alive,gopher,,,,,,
2020,2019,1,2,A,adult,p7,13,43,13,13.5,,,63,alive,partial,partial,,,,,
2020,2019,1,2,A,adult,p8,8,43,8,13,,,142,alive,gopher,,,,,,
2020,2019,1,2,A,adult,p9,13,47,13,14,,,89,alive,gopher,,,,,,
2020,2019,1,2,A,adult,p10,7,39,7,10,,,34,alive,gopher,,,,,,
2020,2019,1,2,A,seedling,s1,1,,1,,0.1,,,dead,,,,,,,6_p
2020,2019,1,2,A,seedling,s2,2,,2,,1,,,alive,alive,newadult,,,,,"3_p,2_a"
2020,2019,1,2,A,seedling,s3,1,,1,,0.1,,,dead,,,,,,,1_p
