row,column,sub,id,starting_height,starting_cir,date
1,1,a,p1,9,3,1/6/20
1,1,a,p2,9,5,1/6/20
1,1,b,p1,1,4,1/6/20
1,1,b,p2,2,4,1/6/20
1,2,a,p1,7,5,1/6/20
1,2,a,p2,4,5,1/6/20
1,2,a,p3,4,6,1/6/20
1,2,a,p4,3,4,1/6/20
1,2,a,p5,3,5,1/6/20
1,2,a,p6,4,5,1/6/20
1,2,a,p7,3,5,1/6/20
1,2,a,p8,6,6,1/6/20
1,2,a,p9,6,5,1/6/20
1,2,a,p19,3,4,1/6/20
1,2,b,p1,8,6,1/6/20
1,2,b,p2,8,4,1/6/20
1,3,b,p1,4,3,1/6/20
1,3,b,p2,4,4,1/6/20
1,3,b,p3,4,4,1/6/20
1,3,b,p4,10,6,1/6/20
1,3,c,p1,5,5,1/6/20
1,3,c,p2,7,4,1/6/20
1,3,c,p3,5,4,1/6/20
1,3,c,p4,8,6,1/6/20
1,4,a,p1,8,4,1/6/20
1,4,a,p2,3,5,1/6/20
1,4,b,p1,8,4,1/6/20
1,4,b,p2,6,5,1/6/20
1,4,b,p3,10,5,1/6/20
1,4,b,p4,5,3,1/6/20
1,4,b,p5,7,4,1/6/20
1,4,b,p6,7,6,1/6/20
1,4,b,p7,7,5,1/6/20
1,4,b,p8,4,4,1/6/20
1,4,b,p9,8,2,1/6/20
1,4,b,p10,6,4,1/6/20
1,5,a,p1,3,5,1/6/20
1,5,a,p1,5,4,1/6/20
1,5,a,p3,3,4,1/6/20
1,5,a,p4,7,5,1/6/20
1,5,a,p5,8,6,1/6/20
1,5,a,p6,11,6,1/6/20
1,5,a,p7,2,5,1/6/20
1,5,a,p8,4,2,1/6/20
1,5,a,p9,7,4,1/6/20
1,5,a,p10,2,4,1/6/20
1,5,b,p1,6,4,1/6/20
1,5,b,p2,6,5,1/6/20
1,6,a,p1,11,6,1/6/20
1,6,a,p2,7,4,1/6/20
1,6,b,p1,7,3,1/6/20
1,6,b,p2,11,4,1/6/20
1,7,a,p1,10,4,1/6/20
1,7,a,p2,10,6,1/6/20
1,7,b,p1,5,7,1/6/20
1,7,b,p2,5,3,1/6/20
1,8,a,p1,4,3,1/6/20
1,8,a,p2,9,4,1/6/20
1,8,a,p3,7,4,1/6/20
1,8,a,p4,8,3,1/6/20
1,8,b,p1,2,3,1/6/20
1,8,b,p2,2,2,1/6/20
1,8,b,p3,5,3,1/6/20
