1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: B300000037A60021
Is Mission Active?  true
Mission Start:  Mon Nov 04 19:04:00 PST 2019
Sample Rate:  Every 120 minute(s)
Number of Mission Samples:  3189
Total Samples:  14322
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
11/4/19 7:04:00 PM,C,24
11/4/19 9:04:00 PM,C,20.5
11/4/19 11:04:00 PM,C,20.5
11/5/19 1:04:00 AM,C,20.5
11/5/19 3:04:00 AM,C,20.5
11/5/19 5:04:00 AM,C,20.5
11/5/19 7:04:00 AM,C,20.5
11/5/19 9:04:00 AM,C,20.5
11/5/19 11:04:00 AM,C,20.5
11/5/19 1:04:00 PM,C,20.5
11/5/19 3:04:00 PM,C,20.5
11/5/19 5:04:00 PM,C,20.5
11/5/19 7:04:00 PM,C,20
11/5/19 9:04:00 PM,C,20
11/5/19 11:04:00 PM,C,20.5
11/6/19 1:04:00 AM,C,20
11/6/19 3:04:00 AM,C,20
11/6/19 5:04:00 AM,C,20
11/6/19 7:04:00 AM,C,20
11/6/19 9:04:00 AM,C,20
11/6/19 11:04:00 AM,C,20
11/6/19 1:04:00 PM,C,20
11/6/19 3:04:00 PM,C,15.5
11/6/19 5:04:00 PM,C,8
11/6/19 7:04:00 PM,C,15.5
11/6/19 9:04:00 PM,C,17.5
11/6/19 11:04:00 PM,C,21.5
11/7/19 1:04:00 AM,C,21.5
11/7/19 3:04:00 AM,C,21
11/7/19 5:04:00 AM,C,20.5
11/7/19 7:04:00 AM,C,20.5
11/7/19 9:04:00 AM,C,20.5
11/7/19 11:04:00 AM,C,20
11/7/19 1:04:00 PM,C,18
11/7/19 3:04:00 PM,C,22.5
11/7/19 5:04:00 PM,C,24
11/7/19 7:04:00 PM,C,24
11/7/19 9:04:00 PM,C,21.5
11/7/19 11:04:00 PM,C,20.5
11/8/19 1:04:00 AM,C,20.5
11/8/19 3:04:00 AM,C,20.5
11/8/19 5:04:00 AM,C,20.5
11/8/19 7:04:00 AM,C,20.5
11/8/19 9:04:00 AM,C,20.5
11/8/19 11:04:00 AM,C,20.5
11/8/19 1:04:00 PM,C,21
11/8/19 3:04:00 PM,C,22
11/8/19 5:04:00 PM,C,22.5
11/8/19 7:04:00 PM,C,22
11/8/19 9:04:00 PM,C,21.5
11/8/19 11:04:00 PM,C,21
11/9/19 1:04:00 AM,C,20.5
11/9/19 3:04:00 AM,C,20.5
11/9/19 5:04:00 AM,C,20
11/9/19 7:04:00 AM,C,20
11/9/19 9:04:00 AM,C,20
11/9/19 11:04:00 AM,C,20
11/9/19 1:04:00 PM,C,19.5
11/9/19 3:04:00 PM,C,20
11/9/19 5:04:00 PM,C,21
11/9/19 7:04:00 PM,C,20.5
11/9/19 9:04:00 PM,C,20
11/9/19 11:04:00 PM,C,19.5
11/10/19 1:04:00 AM,C,18.5
11/10/19 3:04:00 AM,C,18
11/10/19 5:04:00 AM,C,17.5
11/10/19 7:04:00 AM,C,17.5
11/10/19 9:04:00 AM,C,17.5
11/10/19 11:04:00 AM,C,17.5
11/10/19 1:04:00 PM,C,18
11/10/19 3:04:00 PM,C,19
11/10/19 5:04:00 PM,C,19.5
11/10/19 7:04:00 PM,C,19.5
11/10/19 9:04:00 PM,C,19.5
11/10/19 11:04:00 PM,C,19.5
11/11/19 1:04:00 AM,C,19
11/11/19 3:04:00 AM,C,19
11/11/19 5:04:00 AM,C,18.5
11/11/19 7:04:00 AM,C,18.5
11/11/19 9:04:00 AM,C,18.5
11/11/19 11:04:00 AM,C,18.5
11/11/19 1:04:00 PM,C,19
11/11/19 3:04:00 PM,C,20
11/11/19 5:04:00 PM,C,20.5
11/11/19 7:04:00 PM,C,21
11/11/19 9:04:00 PM,C,19.5
11/11/19 11:04:00 PM,C,15.5
11/12/19 1:04:00 AM,C,13
11/12/19 3:04:00 AM,C,11
11/12/19 5:04:00 AM,C,9.5
11/12/19 7:04:00 AM,C,8.5
11/12/19 9:04:00 AM,C,14.5
11/12/19 11:04:00 AM,C,22.5
11/12/19 1:04:00 PM,C,24.5
11/12/19 3:04:00 PM,C,24.5
11/12/19 5:04:00 PM,C,23
11/12/19 7:04:00 PM,C,23.5
11/12/19 9:04:00 PM,C,23.5
11/12/19 11:04:00 PM,C,24
11/13/19 1:04:00 AM,C,22.5
11/13/19 3:04:00 AM,C,21.5
11/13/19 5:04:00 AM,C,20.5
11/13/19 7:04:00 AM,C,20
11/13/19 9:04:00 AM,C,20.5
11/13/19 11:04:00 AM,C,21
11/13/19 1:04:00 PM,C,20.5
11/13/19 3:04:00 PM,C,20.5
11/13/19 5:04:00 PM,C,20.5
11/13/19 7:04:00 PM,C,20.5
11/13/19 9:04:00 PM,C,21.5
11/13/19 11:04:00 PM,C,23
11/14/19 1:04:00 AM,C,22.5
11/14/19 3:04:00 AM,C,22.5
11/14/19 5:04:00 AM,C,22
11/14/19 7:04:00 AM,C,22
11/14/19 9:04:00 AM,C,23.5
11/14/19 11:04:00 AM,C,24
11/14/19 1:04:00 PM,C,24.5
11/14/19 3:04:00 PM,C,24.5
11/14/19 5:04:00 PM,C,24.5
11/14/19 7:04:00 PM,C,24.5
11/14/19 9:04:00 PM,C,24.5
11/14/19 11:04:00 PM,C,24.5
11/15/19 1:04:00 AM,C,23.5
11/15/19 3:04:00 AM,C,22
11/15/19 5:04:00 AM,C,21
11/15/19 7:04:00 AM,C,20
11/15/19 9:04:00 AM,C,21
11/15/19 11:04:00 AM,C,21
11/15/19 1:04:00 PM,C,21
11/15/19 3:04:00 PM,C,21.5
11/15/19 5:04:00 PM,C,21.5
11/15/19 7:04:00 PM,C,21
11/15/19 9:04:00 PM,C,21
11/15/19 11:04:00 PM,C,21
11/16/19 1:04:00 AM,C,19.5
11/16/19 3:04:00 AM,C,19
11/16/19 5:04:00 AM,C,18.5
11/16/19 7:04:00 AM,C,18.5
11/16/19 9:04:00 AM,C,19.5
11/16/19 11:04:00 AM,C,20
11/16/19 1:04:00 PM,C,20.5
11/16/19 3:04:00 PM,C,21
11/16/19 5:04:00 PM,C,21
11/16/19 7:04:00 PM,C,21
11/16/19 9:04:00 PM,C,21
11/16/19 11:04:00 PM,C,21.5
11/17/19 1:04:00 AM,C,20.5
11/17/19 3:04:00 AM,C,19.5
11/17/19 5:04:00 AM,C,19
11/17/19 7:04:00 AM,C,18.5
11/17/19 9:04:00 AM,C,18.5
11/17/19 11:04:00 AM,C,18.5
11/17/19 1:04:00 PM,C,19
11/17/19 3:04:00 PM,C,20
11/17/19 5:04:00 PM,C,20.5
11/17/19 7:04:00 PM,C,21
11/17/19 9:04:00 PM,C,21
11/17/19 11:04:00 PM,C,22
11/18/19 1:04:00 AM,C,21.5
11/18/19 3:04:00 AM,C,20.5
11/18/19 5:04:00 AM,C,20
11/18/19 7:04:00 AM,C,19.5
11/18/19 9:04:00 AM,C,19
11/18/19 11:04:00 AM,C,19
11/18/19 1:04:00 PM,C,19
11/18/19 3:04:00 PM,C,19.5
11/18/19 5:04:00 PM,C,19.5
11/18/19 7:04:00 PM,C,19.5
11/18/19 9:04:00 PM,C,19.5
11/18/19 11:04:00 PM,C,20
11/19/19 1:04:00 AM,C,20
11/19/19 3:04:00 AM,C,20
11/19/19 5:04:00 AM,C,19.5
11/19/19 7:04:00 AM,C,19.5
11/19/19 9:04:00 AM,C,20
11/19/19 11:04:00 AM,C,20.5
