1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 7D0000003783F921
Is Mission Active?  true
Mission Start:  Sun Aug 30 15:02:00 PDT 2020
Sample Rate:  Every 240 minute(s)
Number of Mission Samples:  979
Total Samples:  15620
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
8/30/20 3:02:00 PM,C,37.5
8/30/20 7:02:00 PM,C,31.5
8/30/20 11:02:00 PM,C,25
8/31/20 3:02:00 AM,C,23
8/31/20 7:02:00 AM,C,22.5
8/31/20 11:02:00 AM,C,25.5
8/31/20 3:02:00 PM,C,32
8/31/20 7:02:00 PM,C,31.5
8/31/20 11:02:00 PM,C,26
9/1/20 3:02:00 AM,C,23.5
9/1/20 7:02:00 AM,C,22
9/1/20 11:02:00 AM,C,25.5
9/1/20 3:02:00 PM,C,32
9/1/20 7:02:00 PM,C,32.5
9/1/20 11:02:00 PM,C,27.5
9/2/20 3:02:00 AM,C,25
9/2/20 7:02:00 AM,C,23
9/2/20 11:02:00 AM,C,26.5
9/2/20 3:02:00 PM,C,33
9/2/20 7:02:00 PM,C,33
9/2/20 11:02:00 PM,C,28
9/3/20 3:02:00 AM,C,25.5
9/3/20 7:02:00 AM,C,23.5
9/3/20 11:02:00 AM,C,27
9/3/20 3:02:00 PM,C,34
9/3/20 7:02:00 PM,C,34
9/3/20 11:02:00 PM,C,28.5
9/4/20 3:02:00 AM,C,25.5
9/4/20 7:02:00 AM,C,23.5
9/4/20 11:02:00 AM,C,26.5
9/4/20 3:02:00 PM,C,33.5
9/4/20 7:02:00 PM,C,32
9/4/20 11:02:00 PM,C,26
9/5/20 3:02:00 AM,C,24
9/5/20 7:02:00 AM,C,23
9/5/20 11:02:00 AM,C,24.5
9/5/20 3:02:00 PM,C,31.5
9/5/20 7:02:00 PM,C,31
9/5/20 11:02:00 PM,C,25.5
9/6/20 3:02:00 AM,C,23
9/6/20 7:02:00 AM,C,21
9/6/20 11:02:00 AM,C,24.5
9/6/20 3:02:00 PM,C,31.5
9/6/20 7:02:00 PM,C,31
9/6/20 11:02:00 PM,C,26
9/7/20 3:02:00 AM,C,24
9/7/20 7:02:00 AM,C,22
9/7/20 11:02:00 AM,C,26
9/7/20 3:02:00 PM,C,33
9/7/20 7:02:00 PM,C,33
9/7/20 11:02:00 PM,C,27
9/8/20 3:02:00 AM,C,24
9/8/20 7:02:00 AM,C,22
9/8/20 11:02:00 AM,C,23.5
9/8/20 3:02:00 PM,C,29
9/8/20 7:02:00 PM,C,27
9/8/20 11:02:00 PM,C,23
9/9/20 3:02:00 AM,C,21
9/9/20 7:02:00 AM,C,20
9/9/20 11:02:00 AM,C,23.5
9/9/20 3:02:00 PM,C,28.5
9/9/20 7:02:00 PM,C,27
9/9/20 11:02:00 PM,C,23
9/10/20 3:02:00 AM,C,21
9/10/20 7:02:00 AM,C,20
9/10/20 11:02:00 AM,C,21.5
9/10/20 3:02:00 PM,C,24
9/10/20 7:02:00 PM,C,22.5
9/10/20 11:02:00 PM,C,20.5
9/11/20 3:02:00 AM,C,19
9/11/20 7:02:00 AM,C,18.5
9/11/20 11:02:00 AM,C,19.5
9/11/20 3:02:00 PM,C,21.5
9/11/20 7:02:00 PM,C,21
9/11/20 11:02:00 PM,C,19
9/12/20 3:02:00 AM,C,18
9/12/20 7:02:00 AM,C,17
9/12/20 11:02:00 AM,C,18
9/12/20 3:02:00 PM,C,21
9/12/20 7:02:00 PM,C,20.5
9/12/20 11:02:00 PM,C,18.5
9/13/20 3:02:00 AM,C,17
9/13/20 7:02:00 AM,C,16
9/13/20 11:02:00 AM,C,17.5
9/13/20 3:02:00 PM,C,22
9/13/20 7:02:00 PM,C,21
9/13/20 11:02:00 PM,C,19
9/14/20 3:02:00 AM,C,18
9/14/20 7:02:00 AM,C,17
9/14/20 11:02:00 AM,C,18.5
9/14/20 3:02:00 PM,C,23.5
9/14/20 7:02:00 PM,C,23.5
9/14/20 11:02:00 PM,C,20
9/15/20 3:02:00 AM,C,18.5
9/15/20 7:02:00 AM,C,18.5
9/15/20 11:02:00 AM,C,19.5
9/15/20 3:02:00 PM,C,23.5
9/15/20 7:02:00 PM,C,23
9/15/20 11:02:00 PM,C,20
9/16/20 3:02:00 AM,C,18.5
9/16/20 7:02:00 AM,C,17.5
9/16/20 11:02:00 AM,C,19
9/16/20 3:02:00 PM,C,24.5
9/16/20 7:02:00 PM,C,24
9/16/20 11:02:00 PM,C,21
9/17/20 3:02:00 AM,C,20
