1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 0D00000037AFBD21
Is Mission Active?  true
Mission Start:  Sun Aug 30 14:05:00 PDT 2020
Sample Rate:  Every 240 minute(s)
Number of Mission Samples:  979
Total Samples:  15706
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
8/30/20 2:05:00 PM,C,31.5
8/30/20 6:05:00 PM,C,28
8/30/20 10:05:00 PM,C,22.5
8/31/20 2:05:00 AM,C,21
8/31/20 6:05:00 AM,C,20.5
8/31/20 10:05:00 AM,C,23
8/31/20 2:05:00 PM,C,27
8/31/20 6:05:00 PM,C,28
8/31/20 10:05:00 PM,C,23.5
9/1/20 2:05:00 AM,C,21
9/1/20 6:05:00 AM,C,19.5
9/1/20 10:05:00 AM,C,23
9/1/20 2:05:00 PM,C,27
9/1/20 6:05:00 PM,C,30.5
9/1/20 10:05:00 PM,C,25
9/2/20 2:05:00 AM,C,22.5
9/2/20 6:05:00 AM,C,20.5
9/2/20 10:05:00 AM,C,24
9/2/20 2:05:00 PM,C,29
9/2/20 6:05:00 PM,C,31
9/2/20 10:05:00 PM,C,25.5
9/3/20 2:05:00 AM,C,23
9/3/20 6:05:00 AM,C,21
9/3/20 10:05:00 AM,C,24.5
9/3/20 2:05:00 PM,C,29
9/3/20 6:05:00 PM,C,32
9/3/20 10:05:00 PM,C,26
9/4/20 2:05:00 AM,C,23.5
9/4/20 6:05:00 AM,C,21.5
9/4/20 10:05:00 AM,C,24.5
9/4/20 2:05:00 PM,C,28.5
9/4/20 6:05:00 PM,C,28.5
9/4/20 10:05:00 PM,C,23
9/5/20 2:05:00 AM,C,21.5
9/5/20 6:05:00 AM,C,21
9/5/20 10:05:00 AM,C,22.5
9/5/20 2:05:00 PM,C,27
9/5/20 6:05:00 PM,C,29
9/5/20 10:05:00 PM,C,23
9/6/20 2:05:00 AM,C,20.5
9/6/20 6:05:00 AM,C,18.5
9/6/20 10:05:00 AM,C,22.5
9/6/20 2:05:00 PM,C,27.5
9/6/20 6:05:00 PM,C,29
9/6/20 10:05:00 PM,C,24
9/7/20 2:05:00 AM,C,21.5
9/7/20 6:05:00 AM,C,20
9/7/20 10:05:00 AM,C,24
9/7/20 2:05:00 PM,C,29
9/7/20 6:05:00 PM,C,30
9/7/20 10:05:00 PM,C,25
9/8/20 2:05:00 AM,C,22.5
9/8/20 6:05:00 AM,C,20
9/8/20 10:05:00 AM,C,22
9/8/20 2:05:00 PM,C,26.5
9/8/20 6:05:00 PM,C,25
9/8/20 10:05:00 PM,C,20.5
9/9/20 2:05:00 AM,C,19
9/9/20 6:05:00 AM,C,18
9/9/20 10:05:00 AM,C,21.5
9/9/20 2:05:00 PM,C,25.5
9/9/20 6:05:00 PM,C,24.5
9/9/20 10:05:00 PM,C,21
9/10/20 2:05:00 AM,C,19
9/10/20 6:05:00 AM,C,18
9/10/20 10:05:00 AM,C,19.5
9/10/20 2:05:00 PM,C,22.5
9/10/20 6:05:00 PM,C,21
9/10/20 10:05:00 PM,C,19
9/11/20 2:05:00 AM,C,17.5
9/11/20 6:05:00 AM,C,17
9/11/20 10:05:00 AM,C,18
9/11/20 2:05:00 PM,C,20
9/11/20 6:05:00 PM,C,19.5
9/11/20 10:05:00 PM,C,17.5
9/12/20 2:05:00 AM,C,16.5
9/12/20 6:05:00 AM,C,15.5
9/12/20 10:05:00 AM,C,17
9/12/20 2:05:00 PM,C,20
9/12/20 6:05:00 PM,C,19
9/12/20 10:05:00 PM,C,17
9/13/20 2:05:00 AM,C,15.5
9/13/20 6:05:00 AM,C,14.5
9/13/20 10:05:00 AM,C,16.5
9/13/20 2:05:00 PM,C,20.5
9/13/20 6:05:00 PM,C,19.5
9/13/20 10:05:00 PM,C,18
9/14/20 2:05:00 AM,C,17
9/14/20 6:05:00 AM,C,16
9/14/20 10:05:00 AM,C,17.5
9/14/20 2:05:00 PM,C,22
9/14/20 6:05:00 PM,C,22.5
9/14/20 10:05:00 PM,C,19
9/15/20 2:05:00 AM,C,17.5
9/15/20 6:05:00 AM,C,17.5
9/15/20 10:05:00 AM,C,18.5
9/15/20 2:05:00 PM,C,22
9/15/20 6:05:00 PM,C,21.5
9/15/20 10:05:00 PM,C,18.5
9/16/20 2:05:00 AM,C,17
9/16/20 6:05:00 AM,C,16
9/16/20 10:05:00 AM,C,18
9/16/20 2:05:00 PM,C,23
9/16/20 6:05:00 PM,C,22.5
9/16/20 10:05:00 PM,C,20
9/17/20 2:05:00 AM,C,18.5
9/17/20 6:05:00 AM,C,17.5
9/17/20 10:05:00 AM,C,18.5
9/17/20 2:05:00 PM,C,22.5
9/17/20 6:05:00 PM,C,22
9/17/20 10:05:00 PM,C,20
9/18/20 2:05:00 AM,C,19
9/18/20 6:05:00 AM,C,18.5
9/18/20 10:05:00 AM,C,20
9/18/20 2:05:00 PM,C,19.5
9/18/20 6:05:00 PM,C,18.5
9/18/20 10:05:00 PM,C,17.5
9/19/20 2:05:00 AM,C,17
9/19/20 6:05:00 AM,C,16
9/19/20 10:05:00 AM,C,17
9/19/20 2:05:00 PM,C,21
9/19/20 6:05:00 PM,C,21.5
9/19/20 10:05:00 PM,C,18
9/20/20 2:05:00 AM,C,16
9/20/20 6:05:00 AM,C,14.5
9/20/20 10:05:00 AM,C,16.5
9/20/20 2:05:00 PM,C,21
9/20/20 6:05:00 PM,C,21.5
9/20/20 10:05:00 PM,C,18
9/21/20 2:05:00 AM,C,16
9/21/20 6:05:00 AM,C,14.5
9/21/20 10:05:00 AM,C,17
9/21/20 2:05:00 PM,C,21.5
9/21/20 6:05:00 PM,C,21
9/21/20 10:05:00 PM,C,19
9/22/20 2:05:00 AM,C,18
9/22/20 6:05:00 AM,C,17.5
9/22/20 10:05:00 AM,C,18
9/22/20 2:05:00 PM,C,22.5
9/22/20 6:05:00 PM,C,21.5
9/22/20 10:05:00 PM,C,19
9/23/20 2:05:00 AM,C,17.5
9/23/20 6:05:00 AM,C,17
9/23/20 10:05:00 AM,C,18.5
9/23/20 2:05:00 PM,C,22
9/23/20 6:05:00 PM,C,21.5
9/23/20 10:05:00 PM,C,18.5
9/24/20 2:05:00 AM,C,17.5
9/24/20 6:05:00 AM,C,16.5
9/24/20 10:05:00 AM,C,18
9/24/20 2:05:00 PM,C,20.5
9/24/20 6:05:00 PM,C,20
9/24/20 10:05:00 PM,C,17.5
9/25/20 2:05:00 AM,C,16
9/25/20 6:05:00 AM,C,15.5
9/25/20 10:05:00 AM,C,15
9/25/20 2:05:00 PM,C,15.5
9/25/20 6:05:00 PM,C,16
9/25/20 10:05:00 PM,C,15.5
9/26/20 2:05:00 AM,C,15.5
9/26/20 6:05:00 AM,C,15
9/26/20 10:05:00 AM,C,16.5
9/26/20 2:05:00 PM,C,20
9/26/20 6:05:00 PM,C,18.5
9/26/20 10:05:00 PM,C,16.5
9/27/20 2:05:00 AM,C,15
9/27/20 6:05:00 AM,C,14
9/27/20 10:05:00 AM,C,15.5
9/27/20 2:05:00 PM,C,21.5
9/27/20 6:05:00 PM,C,20.5
9/27/20 10:05:00 PM,C,17
9/28/20 2:05:00 AM,C,15
9/28/20 6:05:00 AM,C,13.5
9/28/20 10:05:00 AM,C,15.5
9/28/20 2:05:00 PM,C,22.5
9/28/20 6:05:00 PM,C,23
9/28/20 10:05:00 PM,C,19
9/29/20 2:05:00 AM,C,16.5
9/29/20 6:05:00 AM,C,15
9/29/20 10:05:00 AM,C,17.5
9/29/20 2:05:00 PM,C,24.5
9/29/20 6:05:00 PM,C,24
9/29/20 10:05:00 PM,C,20
9/30/20 2:05:00 AM,C,17.5
9/30/20 6:05:00 AM,C,16
9/30/20 10:05:00 AM,C,18
9/30/20 2:05:00 PM,C,24
9/30/20 6:05:00 PM,C,22.5
9/30/20 10:05:00 PM,C,19.5
10/1/20 2:05:00 AM,C,17.5
10/1/20 6:05:00 AM,C,16
10/1/20 10:05:00 AM,C,18
10/1/20 2:05:00 PM,C,24.5
10/1/20 6:05:00 PM,C,23.5
10/1/20 10:05:00 PM,C,19.5
10/2/20 2:05:00 AM,C,17.5
10/2/20 6:05:00 AM,C,16
10/2/20 10:05:00 AM,C,18.5
10/2/20 2:05:00 PM,C,24
10/2/20 6:05:00 PM,C,24
10/2/20 10:05:00 PM,C,20
10/3/20 2:05:00 AM,C,17.5
10/3/20 6:05:00 AM,C,16
10/3/20 10:05:00 AM,C,18
10/3/20 2:05:00 PM,C,23.5
10/3/20 6:05:00 PM,C,23
10/3/20 10:05:00 PM,C,19
10/4/20 2:05:00 AM,C,17
10/4/20 6:05:00 AM,C,15.5
10/4/20 10:05:00 AM,C,18
10/4/20 2:05:00 PM,C,23.5
10/4/20 6:05:00 PM,C,21.5
10/4/20 10:05:00 PM,C,18.5
10/5/20 2:05:00 AM,C,17.5
10/5/20 6:05:00 AM,C,17
10/5/20 10:05:00 AM,C,18
10/5/20 2:05:00 PM,C,23.5
10/5/20 6:05:00 PM,C,22
10/5/20 10:05:00 PM,C,18.5
10/6/20 2:05:00 AM,C,16.5
10/6/20 6:05:00 AM,C,15
10/6/20 10:05:00 AM,C,17.5
10/6/20 2:05:00 PM,C,23.5
10/6/20 6:05:00 PM,C,22
10/6/20 10:05:00 PM,C,18.5
10/7/20 2:05:00 AM,C,17
10/7/20 6:05:00 AM,C,15.5
10/7/20 10:05:00 AM,C,17
10/7/20 2:05:00 PM,C,23
10/7/20 6:05:00 PM,C,21.5
10/7/20 10:05:00 PM,C,18.5
10/8/20 2:05:00 AM,C,17.5
10/8/20 6:05:00 AM,C,17
10/8/20 10:05:00 AM,C,18.5
10/8/20 2:05:00 PM,C,24.5
10/8/20 6:05:00 PM,C,22
10/8/20 10:05:00 PM,C,18.5
10/9/20 2:05:00 AM,C,17
10/9/20 6:05:00 AM,C,15.5
10/9/20 10:05:00 AM,C,17.5
10/9/20 2:05:00 PM,C,24
10/9/20 6:05:00 PM,C,21
10/9/20 10:05:00 PM,C,18
10/10/20 2:05:00 AM,C,17.5
10/10/20 6:05:00 AM,C,16
10/10/20 10:05:00 AM,C,15
10/10/20 2:05:00 PM,C,16.5
10/10/20 6:05:00 PM,C,16
10/10/20 10:05:00 PM,C,14
10/11/20 2:05:00 AM,C,13.5
10/11/20 6:05:00 AM,C,13.5
10/11/20 10:05:00 AM,C,14
10/11/20 2:05:00 PM,C,14.5
10/11/20 6:05:00 PM,C,15
10/11/20 10:05:00 PM,C,14.5
10/12/20 2:05:00 AM,C,14.5
10/12/20 6:05:00 AM,C,14
10/12/20 10:05:00 AM,C,15
10/12/20 2:05:00 PM,C,19.5
10/12/20 6:05:00 PM,C,17.5
10/12/20 10:05:00 PM,C,15
10/13/20 2:05:00 AM,C,14.5
10/13/20 6:05:00 AM,C,14.5
10/13/20 10:05:00 AM,C,14.5
10/13/20 2:05:00 PM,C,15.5
10/13/20 6:05:00 PM,C,15.5
10/13/20 10:05:00 PM,C,14.5
10/14/20 2:05:00 AM,C,13
10/14/20 6:05:00 AM,C,12
10/14/20 10:05:00 AM,C,14
10/14/20 2:05:00 PM,C,18
10/14/20 6:05:00 PM,C,16.5
10/14/20 10:05:00 PM,C,13.5
10/15/20 2:05:00 AM,C,12
10/15/20 6:05:00 AM,C,11
10/15/20 10:05:00 AM,C,12.5
10/15/20 2:05:00 PM,C,19
10/15/20 6:05:00 PM,C,16.5
10/15/20 10:05:00 PM,C,13.5
10/16/20 2:05:00 AM,C,12
10/16/20 6:05:00 AM,C,11
10/16/20 10:05:00 AM,C,13.5
10/16/20 2:05:00 PM,C,21
10/16/20 6:05:00 PM,C,18
10/16/20 10:05:00 PM,C,15
10/17/20 2:05:00 AM,C,14
10/17/20 6:05:00 AM,C,14
10/17/20 10:05:00 AM,C,15.5
10/17/20 2:05:00 PM,C,18.5
10/17/20 6:05:00 PM,C,18
10/17/20 10:05:00 PM,C,15
10/18/20 2:05:00 AM,C,14
10/18/20 6:05:00 AM,C,14
10/18/20 10:05:00 AM,C,15
10/18/20 2:05:00 PM,C,18
10/18/20 6:05:00 PM,C,17.5
10/18/20 10:05:00 PM,C,16
10/19/20 2:05:00 AM,C,15.5
10/19/20 6:05:00 AM,C,15
10/19/20 10:05:00 AM,C,15
10/19/20 2:05:00 PM,C,16.5
10/19/20 6:05:00 PM,C,16
10/19/20 10:05:00 PM,C,14
10/20/20 2:05:00 AM,C,13
10/20/20 6:05:00 AM,C,12.5
10/20/20 10:05:00 AM,C,13
10/20/20 2:05:00 PM,C,19
10/20/20 6:05:00 PM,C,17
10/20/20 10:05:00 PM,C,15
10/21/20 2:05:00 AM,C,14.5
10/21/20 6:05:00 AM,C,13.5
10/21/20 10:05:00 AM,C,14
10/21/20 2:05:00 PM,C,17
10/21/20 6:05:00 PM,C,14.5
10/21/20 10:05:00 PM,C,12
10/22/20 2:05:00 AM,C,10
10/22/20 6:05:00 AM,C,8.5
10/22/20 10:05:00 AM,C,11
10/22/20 2:05:00 PM,C,17.5
10/22/20 6:05:00 PM,C,14
10/22/20 10:05:00 PM,C,11.5
10/23/20 2:05:00 AM,C,10
10/23/20 6:05:00 AM,C,8.5
10/23/20 10:05:00 AM,C,10.5
10/23/20 2:05:00 PM,C,14.5
10/23/20 6:05:00 PM,C,13
10/23/20 10:05:00 PM,C,12.5
10/24/20 2:05:00 AM,C,12.5
10/24/20 6:05:00 AM,C,12.5
10/24/20 10:05:00 AM,C,12.5
10/24/20 2:05:00 PM,C,14.5
10/24/20 6:05:00 PM,C,13.5
10/24/20 10:05:00 PM,C,11
10/25/20 2:05:00 AM,C,9
10/25/20 6:05:00 AM,C,7
10/25/20 10:05:00 AM,C,9
10/25/20 2:05:00 PM,C,14.5
10/25/20 6:05:00 PM,C,11
10/25/20 10:05:00 PM,C,8
10/26/20 2:05:00 AM,C,6
10/26/20 6:05:00 AM,C,5
10/26/20 10:05:00 AM,C,7.5
10/26/20 2:05:00 PM,C,14.5
10/26/20 6:05:00 PM,C,11.5
10/26/20 10:05:00 PM,C,8.5
10/27/20 2:05:00 AM,C,7
10/27/20 6:05:00 AM,C,6
10/27/20 10:05:00 AM,C,9
10/27/20 2:05:00 PM,C,16
10/27/20 6:05:00 PM,C,13
10/27/20 10:05:00 PM,C,10
10/28/20 2:05:00 AM,C,8.5
10/28/20 6:05:00 AM,C,7
10/28/20 10:05:00 AM,C,10
10/28/20 2:05:00 PM,C,17.5
10/28/20 6:05:00 PM,C,14
10/28/20 10:05:00 PM,C,11
10/29/20 2:05:00 AM,C,9.5
10/29/20 6:05:00 AM,C,8.5
10/29/20 10:05:00 AM,C,11
10/29/20 2:05:00 PM,C,16.5
10/29/20 6:05:00 PM,C,12.5
10/29/20 10:05:00 PM,C,10
10/30/20 2:05:00 AM,C,9
10/30/20 6:05:00 AM,C,8.5
10/30/20 10:05:00 AM,C,10.5
10/30/20 2:05:00 PM,C,12
10/30/20 6:05:00 PM,C,11.5
10/30/20 10:05:00 PM,C,10
10/31/20 2:05:00 AM,C,9
10/31/20 6:05:00 AM,C,8
10/31/20 10:05:00 AM,C,9.5
10/31/20 2:05:00 PM,C,14
10/31/20 6:05:00 PM,C,12
10/31/20 10:05:00 PM,C,10
11/1/20 1:05:00 AM,C,8.5
11/1/20 5:05:00 AM,C,7.5
11/1/20 9:05:00 AM,C,10.5
11/1/20 1:05:00 PM,C,17.5
11/1/20 5:05:00 PM,C,14
11/1/20 9:05:00 PM,C,11.5
