1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 9A00000037BC9321
Is Mission Active?  true
Mission Start:  Sun Aug 30 15:01:00 PDT 2020
Sample Rate:  Every 240 minute(s)
Number of Mission Samples:  979
Total Samples:  15456
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
8/30/20 3:01:00 PM,C,26.5
8/30/20 7:01:00 PM,C,22
8/30/20 11:01:00 PM,C,14.5
8/31/20 3:01:00 AM,C,15.5
8/31/20 7:01:00 AM,C,15
8/31/20 11:01:00 AM,C,23.5
8/31/20 3:01:00 PM,C,28.5
8/31/20 7:01:00 PM,C,23
8/31/20 11:01:00 PM,C,18.5
9/1/20 3:01:00 AM,C,13.5
9/1/20 7:01:00 AM,C,11
9/1/20 11:01:00 AM,C,23.5
9/1/20 3:01:00 PM,C,31.5
9/1/20 7:01:00 PM,C,28.5
9/1/20 11:01:00 PM,C,19.5
9/2/20 3:01:00 AM,C,15.5
9/2/20 7:01:00 AM,C,12
9/2/20 11:01:00 AM,C,27
9/2/20 3:01:00 PM,C,36.5
9/2/20 7:01:00 PM,C,31
9/2/20 11:01:00 PM,C,21
9/3/20 3:01:00 AM,C,16
9/3/20 7:01:00 AM,C,14
9/3/20 11:01:00 AM,C,26.5
9/3/20 3:01:00 PM,C,34.5
9/3/20 7:01:00 PM,C,31.5
9/3/20 11:01:00 PM,C,19
9/4/20 3:01:00 AM,C,15.5
9/4/20 7:01:00 AM,C,13
9/4/20 11:01:00 AM,C,24.5
9/4/20 3:01:00 PM,C,28.5
9/4/20 7:01:00 PM,C,21
9/4/20 11:01:00 PM,C,13
9/5/20 3:01:00 AM,C,14.5
9/5/20 7:01:00 AM,C,14.5
9/5/20 11:01:00 AM,C,19
9/5/20 3:01:00 PM,C,28
9/5/20 7:01:00 PM,C,23.5
9/5/20 11:01:00 PM,C,13.5
9/6/20 3:01:00 AM,C,11.5
9/6/20 7:01:00 AM,C,10
9/6/20 11:01:00 AM,C,23.5
9/6/20 3:01:00 PM,C,30
9/6/20 7:01:00 PM,C,28.5
9/6/20 11:01:00 PM,C,19
9/7/20 3:01:00 AM,C,15
9/7/20 7:01:00 AM,C,12
9/7/20 11:01:00 AM,C,26.5
9/7/20 3:01:00 PM,C,34.5
9/7/20 7:01:00 PM,C,29
9/7/20 11:01:00 PM,C,22.5
9/8/20 3:01:00 AM,C,19.5
9/8/20 7:01:00 AM,C,18
9/8/20 11:01:00 AM,C,23.5
9/8/20 3:01:00 PM,C,28.5
9/8/20 7:01:00 PM,C,20.5
9/8/20 11:01:00 PM,C,14
9/9/20 3:01:00 AM,C,15.5
9/9/20 7:01:00 AM,C,13
9/9/20 11:01:00 AM,C,23
9/9/20 3:01:00 PM,C,26.5
9/9/20 7:01:00 PM,C,21
9/9/20 11:01:00 PM,C,15.5
9/10/20 3:01:00 AM,C,13
9/10/20 7:01:00 AM,C,11
9/10/20 11:01:00 AM,C,19
9/10/20 3:01:00 PM,C,22.5
9/10/20 7:01:00 PM,C,17
9/10/20 11:01:00 PM,C,13.5
9/11/20 3:01:00 AM,C,12
9/11/20 7:01:00 AM,C,12
9/11/20 11:01:00 AM,C,16.5
9/11/20 3:01:00 PM,C,19.5
9/11/20 7:01:00 PM,C,15
9/11/20 11:01:00 PM,C,12
9/12/20 3:01:00 AM,C,11
9/12/20 7:01:00 AM,C,10
9/12/20 11:01:00 AM,C,15
9/12/20 3:01:00 PM,C,19
9/12/20 7:01:00 PM,C,15
9/12/20 11:01:00 PM,C,11.5
9/13/20 3:01:00 AM,C,8.5
9/13/20 7:01:00 AM,C,8
9/13/20 11:01:00 AM,C,16
9/13/20 3:01:00 PM,C,21.5
9/13/20 7:01:00 PM,C,17
9/13/20 11:01:00 PM,C,13.5
9/14/20 3:01:00 AM,C,12
9/14/20 7:01:00 AM,C,10.5
9/14/20 11:01:00 AM,C,18
9/14/20 3:01:00 PM,C,25.5
9/14/20 7:01:00 PM,C,20.5
9/14/20 11:01:00 PM,C,15
9/15/20 3:01:00 AM,C,14
9/15/20 7:01:00 AM,C,14
9/15/20 11:01:00 AM,C,19.5
9/15/20 3:01:00 PM,C,23.5
9/15/20 7:01:00 PM,C,18.5
9/15/20 11:01:00 PM,C,14
9/16/20 3:01:00 AM,C,12.5
9/16/20 7:01:00 AM,C,10.5
9/16/20 11:01:00 AM,C,20
9/16/20 3:01:00 PM,C,26
9/16/20 7:01:00 PM,C,21
9/16/20 11:01:00 PM,C,16
9/17/20 3:01:00 AM,C,16
9/17/20 7:01:00 AM,C,12.5
9/17/20 11:01:00 AM,C,17.5
9/17/20 3:01:00 PM,C,22.5
9/17/20 7:01:00 PM,C,20
9/17/20 11:01:00 PM,C,17
9/18/20 3:01:00 AM,C,15
9/18/20 7:01:00 AM,C,15
9/18/20 11:01:00 AM,C,21.5
9/18/20 3:01:00 PM,C,20
9/18/20 7:01:00 PM,C,15.5
9/18/20 11:01:00 PM,C,14
9/19/20 3:01:00 AM,C,13.5
9/19/20 7:01:00 AM,C,14
9/19/20 11:01:00 AM,C,16.5
9/19/20 3:01:00 PM,C,22.5
9/19/20 7:01:00 PM,C,18.5
9/19/20 11:01:00 PM,C,13
9/20/20 3:01:00 AM,C,9.5
9/20/20 7:01:00 AM,C,8
9/20/20 11:01:00 AM,C,18
9/20/20 3:01:00 PM,C,21.5
9/20/20 7:01:00 PM,C,18
9/20/20 11:01:00 PM,C,14
9/21/20 3:01:00 AM,C,10
9/21/20 7:01:00 AM,C,9
9/21/20 11:01:00 AM,C,22
9/21/20 3:01:00 PM,C,24.5
9/21/20 7:01:00 PM,C,20
9/21/20 11:01:00 PM,C,15.5
9/22/20 3:01:00 AM,C,14.5
9/22/20 7:01:00 AM,C,14
9/22/20 11:01:00 AM,C,18.5
9/22/20 3:01:00 PM,C,23
9/22/20 7:01:00 PM,C,19
9/22/20 11:01:00 PM,C,14.5
9/23/20 3:01:00 AM,C,12.5
9/23/20 7:01:00 AM,C,15
9/23/20 11:01:00 AM,C,20.5
9/23/20 3:01:00 PM,C,30.5
9/23/20 7:01:00 PM,C,17.5
9/23/20 11:01:00 PM,C,15
9/24/20 3:01:00 AM,C,14.5
9/24/20 7:01:00 AM,C,12.5
9/24/20 11:01:00 AM,C,20.5
9/24/20 3:01:00 PM,C,22.5
9/24/20 7:01:00 PM,C,17
9/24/20 11:01:00 PM,C,13.5
9/25/20 3:01:00 AM,C,12.5
9/25/20 7:01:00 AM,C,13.5
9/25/20 11:01:00 AM,C,14.5
9/25/20 3:01:00 PM,C,14
9/25/20 7:01:00 PM,C,14
9/25/20 11:01:00 PM,C,14
9/26/20 3:01:00 AM,C,13.5
9/26/20 7:01:00 AM,C,11
9/26/20 11:01:00 AM,C,18
9/26/20 3:01:00 PM,C,21
9/26/20 7:01:00 PM,C,17
9/26/20 11:01:00 PM,C,13
9/27/20 3:01:00 AM,C,9.5
9/27/20 7:01:00 AM,C,9.5
9/27/20 11:01:00 AM,C,16
9/27/20 3:01:00 PM,C,24.5
9/27/20 7:01:00 PM,C,19
9/27/20 11:01:00 PM,C,13
9/28/20 3:01:00 AM,C,9
9/28/20 7:01:00 AM,C,7
9/28/20 11:01:00 AM,C,20
9/28/20 3:01:00 PM,C,27
9/28/20 7:01:00 PM,C,21.5
9/28/20 11:01:00 PM,C,16
9/29/20 3:01:00 AM,C,13.5
9/29/20 7:01:00 AM,C,11.5
9/29/20 11:01:00 AM,C,23.5
9/29/20 3:01:00 PM,C,31
9/29/20 7:01:00 PM,C,22.5
9/29/20 11:01:00 PM,C,15
9/30/20 3:01:00 AM,C,14
9/30/20 7:01:00 AM,C,11
9/30/20 11:01:00 AM,C,25
9/30/20 3:01:00 PM,C,28
9/30/20 7:01:00 PM,C,19
9/30/20 11:01:00 PM,C,15
10/1/20 3:01:00 AM,C,12
10/1/20 7:01:00 AM,C,11
10/1/20 11:01:00 AM,C,23
10/1/20 3:01:00 PM,C,29.5
10/1/20 7:01:00 PM,C,20
10/1/20 11:01:00 PM,C,14.5
10/2/20 3:01:00 AM,C,12
10/2/20 7:01:00 AM,C,10.5
10/2/20 11:01:00 AM,C,26
10/2/20 3:01:00 PM,C,31.5
10/2/20 7:01:00 PM,C,22.5
10/2/20 11:01:00 PM,C,15.5
10/3/20 3:01:00 AM,C,11.5
10/3/20 7:01:00 AM,C,8.5
10/3/20 11:01:00 AM,C,21
10/3/20 3:01:00 PM,C,25
10/3/20 7:01:00 PM,C,19
10/3/20 11:01:00 PM,C,14.5
10/4/20 3:01:00 AM,C,11
10/4/20 7:01:00 AM,C,9
10/4/20 11:01:00 AM,C,20
10/4/20 3:01:00 PM,C,20
10/4/20 7:01:00 PM,C,14
10/4/20 11:01:00 PM,C,12.5
10/5/20 3:01:00 AM,C,13
10/5/20 7:01:00 AM,C,10.5
10/5/20 11:01:00 AM,C,18
10/5/20 3:01:00 PM,C,22
10/5/20 7:01:00 PM,C,16
10/5/20 11:01:00 PM,C,12.5
10/6/20 3:01:00 AM,C,9
